split_type,model_name,fraction,seed,test_mse,test_cross_entropy
parameter_amb,pt5,0.72,42,0.053589298252422986,0.6932886043169694
parameter_amb,ev,0.74,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.74,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.74,42,0.05413492777084871,0.6943815487306775
parameter_amb,pt5,0.74,42,0.05361224521970563,0.6933345215757488
parameter_amb,ev,0.76,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.76,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.76,42,0.05421463485851375,0.6945410028047775
parameter_amb,pt5,0.76,42,0.053636008323505575,0.6933820734151332
parameter_amb,ev,0.78,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.78,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.78,42,0.05414666778630497,0.6944050294093248
parameter_amb,pt5,0.78,42,0.05364980993714845,0.693409692245056
parameter_amb,ev,0.8,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.8,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.8,42,0.05415252893239358,0.6944167527969164
parameter_amb,pt5,0.8,42,0.05365765469057489,0.6934253908599038
parameter_amb,ev,0.82,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.82,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.82,42,0.05405534083433645,0.6942224467622504
parameter_amb,pt5,0.82,42,0.053648948803667114,0.6934079689889255
parameter_amb,ev,0.84,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.84,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.84,42,0.054121086684467565,0.6943538686766105
parameter_amb,pt5,0.84,42,0.05363010468564625,0.6933702596274709
parameter_amb,ev,0.86,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.86,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.86,42,0.0541485668158978,0.694408827769032
parameter_amb,pt5,0.86,42,0.0536384174925275,0.6933868944383355
parameter_amb,ev,0.88,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.88,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.88,42,0.05401124918107041,0.6941344438648231
parameter_amb,pt5,0.88,42,0.05367685323556792,0.6934638109841955
parameter_amb,ev,0.9,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.9,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.9,42,0.05402269259690796,0.6941577897118951
parameter_amb,pt5,0.9,42,0.05364863271990926,0.6934073364588563
parameter_amb,ev,0.92,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.92,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.92,42,0.054018340588837296,0.6941490504089318
parameter_amb,pt5,0.92,42,0.053649531522222786,0.6934091350951653
parameter_amb,ev,0.94,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.94,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.94,42,0.054023874852382144,0.6941601632338624
parameter_amb,pt5,0.94,42,0.053636826502610556,0.6933837106834414
parameter_amb,ev,0.96,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.96,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.96,42,0.05402657566003518,0.6941655846872092
parameter_amb,pt5,0.96,42,0.053607300069777125,0.6933246261332208
parameter_amb,ev,0.98,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.98,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.98,42,0.05401973554998003,0.6941518520467072
